Department,Date,Budget_Revenue,Actual_Revenue,Budget_COGS,Actual_COGS,Budget_Shipping,Actual_Shipping,Budget_Salary,Actual_Salary,Budget_Taxes,Actual_Taxes
HR,"Wednesday,March 19,2025",166234,177044.3,254625,239857.65,27126,10742.26,45000,45000,42904,-18608.98
IT,"Tuesday,March 25,2025",139954,146246.72,188013,203847.16,10788,11011.3,60000,60000,39008,-21540.94
Sales,"Monday,March 31,2025",278352,239356.19,75934,,10408,22029.18,50000,50000,5060,19460.16
IT,"Sunday,April 06,2025",179459,174097.97,204458,195090.75,14446,15083.86,60000,60000,14130,-16594.16
Sales,"Saturday,April 12,2025",295004,258492.11,242958,224475.85,5922,19932.81,50000,50000,23023,-8393.85
Operations,"Friday,April 18,2025",300968,274034.75,125745,113913.61,5419,21790.53,52000,52000,18350,15360.6
Marketing,"Thursday,April 24,2025",159163,174548.59,264323,280312.66,23588,13164.11,55000,55000,29354,-37270.76
Marketing,"Wednesday,April 30,2025",151934,134556.38,144456,151934.99,15789,8729.67,55000,55000,33145,-17796.38
Marketing,"Tuesday,May 06,2025",295967,288485.56,103413,107205.6,6120,22574.31,55000,55000,39020,20872.37?
IT,"Tuesday,May 13,2025",416242,418131.29,237872,227878.23,16260,35308.79,60000,60000,25587,17140.39
Operations,"Monday,May 19,2025",105486,108188.15,147239,146904.25,22334,10133.57,52000,52000,46131,-17271.96
Sales,"Sunday,May 25,2025",239407,236991.9,92318,96806.42,7336,19389.39,50000,50000,14650,10854.38
HR,"Saturday,May 31,2025",449044,382784.29,251245,257323.05,10373,33706.48,45000,45000,24933,8434.31
Sales,"Friday,June 06,2025",226020,210563.7,120390,138080.87,7243,12213.45,50000,50000,25581,2211.16
HR,"Thursday,June 12,2025",202795,198623.08,233401,218022.19,24029,14514.95,45000,45000,28393,-19241.65
Sales,"Wednesday,June 18,2025",320184,279189.76,93088,99956.6,9612,14089.75,50000,50000,28051,27302.86
Operations,"Tuesday,June 24,2025",242202,227102.34,297940,298261.68,18946,14156.18,52000,52000,31212,-31116.59
HR,"Monday,June 30,2025",449652,385936.66,153196,154276.02,23249,33315.24,45000,45000,9090,35092.29
IT,"Sunday,July 06,2025",337027,293093.72,220883,238420.99,16104,29189.35,60000,60000,11960,NA
Sales,"Sunday,July 13,2025",218324,207239.87,295897,317529.74,18429,11389.68,50000,50000,40772,-30220.53
Sales,"Saturday,July 19,2025",n/a,373328.57,105479,121070.27,27412,26160.89,50000,50000,26520,42390.08
HR,"Friday,July 25,2025",297775,295358.62,266464,248370.71,28710,26583.32,45000,45000,41408,-5339.01
IT,"Thursday,July 31,2025",389336,398043.98,268441,248583.72,11371,23962.96,60000,60000,33470,13495.33
IT,"Wednesday,August 06,2025",363206,381419.57,298592,322803.24,11359,29656.99,60000,60000,25491,-5000.62
Operations,"Tuesday,August 12,2025",184076,165675.31,69963,73083.12,12863,14356.36,52000,52000,6341,5108.26
IT,"Monday,August 18,2025",189780,169259.21,105123,101815.85,8228,13676.02,60000,60000,49623,-1221.82
IT,"Sunday,August 24,2025",252617,221328.35,175911,161812.59,25103,13147.18,60000,60000,29791,-3223.24
IT,"Saturday,August 30,2025",121689,122797.29,152468,140486.24,19382,8321.88,60000,60000,5338,-17603.39
Marketing,"Saturday,September 06,2025",373318,383255.33,273777,307601.52,23755,34182.39,55000,55000,10895,-2543.91
Operations,"Friday,September 12,2025",NA,386572.47,123477,117052.1,7891,30041.06,52000,52000,17254,46434.88
Sales,"Thursday,September 18,2025",488318,529362.62,64388,63154.51,8756,26606.55,50000,50000,16344,62753.93
HR,"Wednesday,September 24,2025",465177,401444.41,55569,53160.87,25609,35346.99,45000,45000,6750,51512.1
Sales,"Tuesday,September 30,2025",109348,107743.22,119836.0?,118487.73,20770,5577.39,50000,50000,7421,-10227
Operations,"Monday,October 06,2025",138102,error,154573,141798.46,21478,12383.13,52000,52000,,-14405.77
HR,"Sunday,October 12,2025",174460,186278.32,217658,224136.58,7674,11199.8,45000,45000,10319,-22743.96
Operations,"Saturday,October 18,2025",464778,478034.27,193087,177042.08,n/a,46801.31,52000,52000,20896,35990.73?
IT,"Friday,October 24,2025",189930,199508.55,95002,104510.67,15147,13645.79,60000,60000,16918,5035.55
HR,"Thursday,October 30,2025",106801,99844.26,297666,285291.44,5793,6624.33,45000,45000,30064,-42488.39
IT,"Thursday,November 06,2025",203150,214060.43,187326,193882.97,7116,12296.57,60000,60000,32935,-12564.72
Sales,"Wednesday,November 12,2025",303339,263913.64,198216,222005.84,10779,17228.34,50000,50000,42641,-5707.15
Sales,"Tuesday,November 18,2025",279208,299786.79,205286,218161.4,17298,28129.76$,50000,50000,34711,805.71
HR,"Monday,November 24,2025",254697,251359.98,286726,296256.61,19153,25089.93,45000,45000,9806,-17455.04
HR,"Sunday,November 30,2025",313945,330999.89,261791,256838.81,16111,22645.52,45000,45000,46360,1604.66
Operations,"Saturday,December 06,2025",331915,319660.56,252846,248610.95,15789,23153.18,52000,52000,17182,-913.73
Operations,"Friday,December 12,2025",303664,306972.24,187162,199771.43,16397,26431.4,52000,52000,27297,5192.16
IT,"Thursday,December 18,2025",308124,302454.72,192709,221333,17999,28524.44,60000,60000,24541,
HR,"Wednesday,December 24,2025",101542,104882.47,203487,216807.22,27550,8354.12,45000,45000,33921,-29444.78
Sales,"Wednesday,December 31,2025",383821,334080.68,74071,76992.79,5814,23244.09,50000,50000,21774,43621.61
